<DATE>	<TIME>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2021.11.08	01:00:00	36348	36356	36312	36319	507	0	1
2021.11.08	02:00:00	36319	36331	36291	36306	1164	0	2
2021.11.08	03:00:00	36306	36335	36275	36294	1178	0	1
2021.11.08	04:00:00	36294	36322	36290	36313	786	0	2
2021.11.08	05:00:00	36313	36319	36300	36304	552	0	3
2021.11.08	06:00:00	36304	36306	36289	36298	468	0	3
2021.11.08	07:00:00	36299	36323	36292	36317	679	0	3
2021.11.08	08:00:00	36317	36329	36303	36305	630	0	2
2021.11.08	09:00:00	36304	36336	36295	36321	854	0	1
2021.11.08	10:00:00	36321	36356	36308	36352	1588	0	1
2021.11.08	11:00:00	36354	36438	36352	36403	1279	0	1
2021.11.08	12:00:00	36403	36422	36380	36415	790	0	2
2021.11.08	13:00:00	36415	36420	36402	36409	591	0	2
2021.11.08	14:00:00	36407	36413	36395	36407	787	0	2
2021.11.08	15:00:00	36407	36496	36402	36494	1006	0	1
2021.11.08	16:00:00	36493	36570	36455	36512	3714	0	0
2021.11.08	17:00:00	36513	36515	36422	36460	3829	0	1
2021.11.08	18:00:00	36459	36486	36385	36390	2513	0	0
2021.11.08	19:00:00	36391	36404	36340	36366	1827	0	1
2021.11.08	20:00:00	36366	36401	36354	36398	1516	0	1
2021.11.08	21:00:00	36398	36458	36396	36457	1625	0	0
2021.11.08	22:00:00	36457	36461	36410	36440	2159	0	1
2021.11.09	01:00:00	36398	36405	36381	36384	240	0	2
2021.11.09	02:00:00	36385	36400	36340	36344	901	0	2
2021.11.09	03:00:00	36343	36354	36322	36328	730	0	1
2021.11.09	04:00:00	36329	36365	36327	36351	619	0	2
2021.11.09	05:00:00	36351	36354	36306	36320	617	0	1
2021.11.09	06:00:00	36319	36334	36319	36331	463	0	2
2021.11.09	07:00:00	36331	36374	36325	36366	524	0	2
2021.11.09	08:00:00	36366	36376	36360	36366	397	0	3
2021.11.09	09:00:00	36369	36381	36356	36360	595	0	1
2021.11.09	10:00:00	36358	36440	36351	36429	1424	0	2
2021.11.09	11:00:00	36427	36429	36384	36410	842	0	2
2021.11.09	12:00:00	36409	36425	36406	36407	703	0	2
2021.11.09	13:00:00	36408	36419	36398	36404	597	0	2
2021.11.09	14:00:00	36402	36410	36325	36339	889	0	1
2021.11.09	15:00:00	36338	36389	36333	36374	1105	0	1
2021.11.09	16:00:00	36374	36427	36269	36289	3487	0	0
2021.11.09	17:00:00	36291	36331	36227	36279	5138	0	1
2021.11.09	18:00:00	36280	36300	36195	36207	3567	0	0
2021.11.09	19:00:00	36206	36272	36182	36252	3131	0	1
2021.11.09	20:00:00	36250	36281	36199	36213	2396	0	1
2021.11.09	21:00:00	36215	36266	36195	36266	2256	0	1
2021.11.09	22:00:00	36266	36328	36251	36324	2652	0	1
2021.11.10	01:00:00	36270	36278	36259	36264	322	0	3
2021.11.10	02:00:00	36263	36284	36242	36247	875	0	3
2021.11.10	03:00:00	36247	36264	36228	36253	1056	0	3
2021.11.10	04:00:00	36253	36257	36189	36199	952	0	1
2021.11.10	05:00:00	36198	36207	36178	36190	649	0	2
2021.11.10	06:00:00	36190	36196	36177	36188	521	0	2
2021.11.10	07:00:00	36188	36214	36179	36205	640	0	3
2021.11.10	08:00:00	36205	36255	36203	36251	659	0	1
2021.11.10	09:00:00	36250	36314	36242	36283	1086	0	3
2021.11.10	10:00:00	36283	36317	36265	36267	1421	0	1
2021.11.10	11:00:00	36266	36287	36221	36269	1531	0	1
2021.11.10	12:00:00	36269	36276	36222	36247	1319	0	1
2021.11.10	13:00:00	36246	36256	36207	36220	1363	0	1
2021.11.10	14:00:00	36220	36277	36220	36275	1152	0	1
2021.11.10	15:00:00	36274	36281	36204	36253	2250	0	1
2021.11.10	16:00:00	36255	36350	36234	36341	3983	0	0
2021.11.10	17:00:00	36339	36356	36255	36284	3654	0	1
2021.11.10	18:00:00	36284	36309	36256	36289	2683	0	1
